id,name
1457,Kaiser Wilhelm Guy
1458,Administrator
1459,SQUEAKY-VOICED TEENAGER
1460,Smithers's Wife
1461,Carl's Wife
1462,Snowball II
1463,Musician
1464,Another Man
1465,Amish Man
1466,Mob Of Teenagers
1467,Last Teenager
1468,A Dozen Little Girls
1469,George
1470,STEWART CHARACTER
1471,RAVI
1472,English Boy
1473,Police Dept. Machine
1474,Jimmy Stewart Character
1475,Swashbuckler
1477,Fbi #1
1478,Fbi #2
1479,Professor Taylor
1480,Englishman
1481,Beekeeper #1
1482,Beekeeper #2
1483,Üter
1484,Sherry
1485,Various Kids
1486,Radio Preacher
1487,2nd Radio Preacher
1488,3rd Radio Preacher
1489,Engineer
1490,Waiter #1
1491,Childcare Worker
1492,Little Kid
1493,Mother #1
1494,Childcare Supervisor
1495,Pinitchio
